time_ms,workflow_id,entity_id,event_type,completes_at,compute_ms,cost_usd,decision,entry_agent,errored,inference_ms,infra_job_id,infra_latency_ms,input_tokens,network_back_ms,network_out_ms,output_tokens,prompt_tokens,queue_wait_ms,reason,response_tokens,session_tokens,step,steps,target,tool,tool_ms,total_cost_usd,total_latency_ms,workload
0.000,wf-chat-light-0001,ORCHESTRATOR,SUBMIT,,,,,agent-shared,,,,,,,,,73,,,,,,,,,,,,chat-light
0.000,wf-tool-heavy-0049,ORCHESTRATOR,SUBMIT,,,,,agent-shared,,,,,,,,,242,,,,,,,,,,,,tool-heavy
47.185,wf-tool-heavy-0050,ORCHESTRATOR,SUBMIT,,,,,agent-shared,,,,,,,,,184,,,,,,,,,,,,tool-heavy
738.419,wf-chat-light-0002,ORCHESTRATOR,SUBMIT,,,,,agent-shared,,,,,,,,,68,,,,,,,,,,,,chat-light
1387.328,wf-chat-light-0003,ORCHESTRATOR,SUBMIT,,,,,agent-shared,,,,,,,,,56,,,,,,,,,,,,chat-light
2307.539,wf-chat-light-0004,ORCHESTRATOR,SUBMIT,,,,,agent-shared,,,,,,,,,64,,,,,,,,,,,,chat-light
2952.771,wf-chat-light-0005,ORCHESTRATOR,SUBMIT,,,,,agent-shared,,,,,,,,,46,,,,,,,,,,,,chat-light
5575.843,wf-tool-heavy-0051,ORCHESTRATOR,SUBMIT,,,,,agent-shared,,,,,,,,,205,,,,,,,,,,,,tool-heavy
7987.493,wf-chat-light-0006,ORCHESTRATOR,SUBMIT,,,,,agent-shared,,,,,,,,,80,,,,,,,,,,,,chat-light
8495.099,wf-tool-heavy-0052,ORCHESTRATOR,SUBMIT,,,,,agent-shared,,,,,,,,,276,,,,,,,,,,,,tool-heavy
9134.637,wf-chat-light-0007,ORCHESTRATOR,SUBMIT,,,,,agent-shared,,,,,,,,,78,,,,,,,,,,,,chat-light
9525.155,wf-chat-light-0008,ORCHESTRATOR,SUBMIT,,,,,agent-shared,,,,,,,,,37,,,,,,,,,,,,chat-light
11329.684,wf-chat-light-0009,ORCHESTRATOR,SUBMIT,,,,,agent-shared,,,,,,,,,40,,,,,,,,,,,,chat-light
11707.695,wf-chat-light-0010,ORCHESTRATOR,SUBMIT,,,,,agent-shared,,,,,,,,,61,,,,,,,,,,,,chat-light
12380.236,wf-tool-heavy-0053,ORCHESTRATOR,SUBMIT,,,,,agent-shared,,,,,,,,,209,,,,,,,,,,,,tool-heavy
13478.381,wf-chat-light-0011,ORCHESTRATOR,SUBMIT,,,,,agent-shared,,,,,,,,,81,,,,,,,,,,,,chat-light
15213.500,wf-chat-light-0012,ORCHESTRATOR,SUBMIT,,,,,agent-shared,,,,,,,,,59,,,,,,,,,,,,chat-light
15340.126,wf-tool-heavy-0054,ORCHESTRATOR,SUBMIT,,,,,agent-shared,,,,,,,,,140,,,,,,,,,,,,tool-heavy
18006.270,wf-chat-light-0013,ORCHESTRATOR,SUBMIT,,,,,agent-shared,,,,,,,,,44,,,,,,,,,,,,chat-light
21411.537,wf-chat-light-0014,ORCHESTRATOR,SUBMIT,,,,,agent-shared,,,,,,,,,48,,,,,,,,,,,,chat-light
22493.033,wf-chat-light-0015,ORCHESTRATOR,SUBMIT,,,,,agent-shared,,,,,,,,,47,,,,,,,,,,,,chat-light
22857.296,wf-tool-heavy-0055,ORCHESTRATOR,SUBMIT,,,,,agent-shared,,,,,,,,,291,,,,,,,,,,,,tool-heavy
28478.911,wf-chat-light-0016,ORCHESTRATOR,SUBMIT,,,,,agent-shared,,,,,,,,,13,,,,,,,,,,,,chat-light
30655.661,wf-tool-heavy-0056,ORCHESTRATOR,SUBMIT,,,,,agent-shared,,,,,,,,,116,,,,,,,,,,,,tool-heavy
31913.980,wf-chat-light-0017,ORCHESTRATOR,SUBMIT,,,,,agent-shared,,,,,,,,,78,,,,,,,,,,,,chat-light
32807.351,wf-chat-light-0018,ORCHESTRATOR,SUBMIT,,,,,agent-shared,,,,,,,,,23,,,,,,,,,,,,chat-light
33948.011,wf-chat-light-0019,ORCHESTRATOR,SUBMIT,,,,,agent-shared,,,,,,,,,10,,,,,,,,,,,,chat-light
